t_s,Tm_J1,P_J1,Tm_J2,P_J2,Tm_TWIST,P_TWIST,Tm_ELBOW,P_ELBOW,Tm_ROLL,P_ROLL,Tm_PITCH,P_PITCH,Tm_YAW,P_YAW,Ts_humerus_u,Ts_forearm_u,Ts_humerus_l,Ts_forearm_l,Ts_wrist,Ts_hand,T_amb,T_torso
98.0,43.26319286157337,10.871945586836716,38.259203144796906,7.731050749922669,38.94817795218001,13.05882307932178,39.70118660539091,12.256610806041786,46.41006608713893,11.93002649864018,48.91164005414021,8.671047839091354,52.14082103245863,11.01301513230394,25.4,25.9,26.094950002425,27.55,42.205049997575,44.255049997575,23.494950002425,31.014489584599595
100.0,43.27018570866731,10.793993063662088,38.31313788411839,7.733007138330121,39.012829836980686,13.092157214660965,39.75030291797485,12.292931648266253,46.50336413397377,11.89632421607747,48.99412762799746,8.624336134976968,52.23536021131363,11.013162016650227,25.4,25.9,26.055049997575,27.55,42.255049997575,44.31009999515,23.45,31.02508605066405
102.0,43.36121661681086,10.84174481697182,38.367560729568126,7.738615509675329,39.08069071333598,13.097787008005811,39.81209416573636,12.198068870830191,46.58744261836136,11.949074378080152,49.07197808029299,8.651544292141317,52.339375698205075,10.9253894297494,25.4,25.9,26.1,27.555049997575,42.305049997575,44.405049997575,23.455049997575,31.035682516728503
104.0,43.35380196657496,10.938666955875917,38.411513102935814,7.709598572895739,39.13539847334736,13.110027842513688,39.865836396671185,12.217228943296362,46.670837886869954,11.891078958719886,49.15162102708569,8.674810385514025,52.440634722386854,11.151886351457206,25.4,25.9,26.1,27.6,42.36009999515,44.455049997575,23.5,31.046278982792956
106.0,43.53053482966042,10.765274513832264,38.45201627671641,7.718372482835642,39.18402206749644,13.043012056540936,39.92148187296913,12.253185863436231,46.75837417437537,11.90533243172005,49.22660348674833,8.66610469288328,52.53752479934566,11.115095829885076,25.4,25.9,26.105049997575,27.6,42.455049997575,44.505049997575,23.494950002425,31.056799008464427
108.0,43.595680563291324,10.795221762221956,38.493307596022085,7.702407670166223,39.233885738064224,13.148526864753997,39.97752560954092,12.28697626268867,46.8458910855883,11.937715061120832,49.30388469209963,8.648928945027613,52.637196484464106,10.968314887717456,25.4,25.9,26.155049997575,27.61009999515,42.515149992725,44.56009999515,23.455049997575,31.06663863859138
110.0,43.60370049225406,10.827251088917723,38.534175221498714,7.798639897079623,39.28013330984495,13.063934001285558,40.032731162804915,12.25968669325488,46.92577824051275,11.952003039226344,49.37095783878576,8.688419330111243,52.73559629739429,11.096769502808108,25.405049997575,25.905049997575,26.2,27.7,42.655049997575,44.655049997575,23.5,31.076478268718336
112.0,43.55771019568025,10.884212895636947,38.57221057983059,7.720433309638738,39.32861463877448,13.076548213926456,40.09272966014242,12.297235373264442,47.01035732213296,12.010795506297375,49.448515440125895,8.746022830860278,52.82913852807261,10.928711068697035,25.45,25.95,26.2,27.705049997575,42.71009999515,44.71009999515,23.5,31.086317898845287
114.0,43.601213612629955,10.987389445327317,38.60756471684321,7.741042762644035,39.367273345989894,13.13296159026942,40.15522514671383,12.24407581538153,47.09269482116784,12.00600714963413,49.52449420911063,8.660269634269092,52.925951953837185,10.995589288558158,25.45,25.95,26.2,27.755049997575,42.805049997575,44.805049997575,23.5,31.096157528972242
116.0,43.76512714918213,10.841284920850612,38.645027598224374,7.721544357384239,39.418984761211114,13.152778264670626,40.21721520959297,12.311849996830764,47.16653277292752,11.961293378096226,49.59318723572143,8.713369435144633,53.023153401206,10.98099480108826,25.455049997575,25.955049997575,26.205049997575,27.805049997575,42.85,44.85,23.5,31.105997159099193
